Serial Number:20053111 --

Date Time - GMT +03:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Started,EOF,
2017-09-11 08:10:14,71.76,52.87,53.69, , , ,
2017-09-11 08:20:14,71.84,52.90,53.77, , , ,
2017-09-11 08:30:14,71.92,53.13,53.96, , , ,
2017-09-11 08:40:14,71.92,53.13,53.96, , , ,
2017-09-11 08:50:14,72.00,53.13,54.03, , , ,
2017-09-11 09:00:14,71.92,53.16,53.98, , , ,
2017-09-11 09:10:14,71.92,53.16,53.98, , , ,
2017-09-11 09:20:14,72.00,53.13,54.03, , , ,
2017-09-11 09:30:14,72.00,53.13,54.03, , , ,
2017-09-11 09:40:14,71.92,53.13,53.96, , , ,
2017-09-11 09:50:14,72.00,53.13,54.03, , , ,
2017-09-11 10:00:14,72.00,53.13,54.03, , , ,
2017-09-11 10:10:14,72.00,52.87,53.90, , , ,
2017-09-11 10:20:14,72.07,52.87,53.97, , , ,
2017-09-11 10:30:14,72.07,52.90,53.99, , , ,
2017-09-11 10:40:14,72.07,52.90,53.99, , , ,
2017-09-11 10:50:14,72.07,52.87,53.97, , , ,
2017-09-11 11:00:14,72.07,52.65,53.86, , , ,
2017-09-11 11:10:14,72.15,53.13,54.17, , , ,
2017-09-11 11:20:14,72.15,53.16,54.19, , , ,
2017-09-11 11:30:14,72.38,52.94,54.29, , , ,
2017-09-11 11:40:14,72.30,52.94,54.22, , , ,
2017-09-11 11:50:14,72.46,52.65,54.21, , , ,
2017-09-11 12:00:14,72.38,52.40,54.01, , , ,
2017-09-11 12:10:14,72.46,52.40,54.08, , , ,
2017-09-11 12:20:14,72.61,51.92,53.98, , , ,
2017-09-11 12:30:14,72.54,51.20,53.52, , , ,
2017-09-11 12:40:14,72.61,51.45,53.72, , , ,
2017-09-11 12:50:14,72.69,51.67,53.91, , , ,
2017-09-11 13:00:14,72.69,51.70,53.93, , , ,
2017-09-11 13:10:14,72.84,51.73,54.09, , , ,
2017-09-11 13:20:14,72.84,51.92,54.19, , , ,
2017-09-11 13:30:14,72.92,51.73,54.16, , , ,
2017-09-11 13:40:14,73.00,51.45,54.08, , , ,
2017-09-11 13:50:14,73.00,51.45,54.08, , , ,
2017-09-11 14:00:14,74.70,57.82,58.89, , , ,
2017-09-11 14:10:14,73.62,50.75,54.27, , , ,
2017-09-11 14:20:14,72.92,52.21,54.41, , , ,
2017-09-11 14:30:14,72.92,52.24,54.43, , , ,
2017-09-11 14:40:14,76.55,47.69,55.25, , , ,
2017-09-11 14:50:14,75.70,52.65,57.21, , , ,
2017-09-11 15:00:14,72.92,53.98,55.33, , , ,
2017-09-11 15:10:14,73.31,53.76,55.57, , , ,
2017-09-11 15:20:14,74.00,53.31,55.99, , , ,
2017-09-11 15:30:14,74.16,53.06,56.00, , , ,
2017-09-11 15:40:14,74.08,53.31,56.06, , , ,
2017-09-11 15:50:14,73.85,53.54,55.96, , , ,
2017-09-11 16:00:14,73.93,50.50,54.42, , , ,
2017-09-11 16:10:14,74.31,53.60,56.42, , , ,
2017-09-11 16:20:14,74.47,53.85,56.69, , , ,
2017-09-11 16:30:14,74.39,54.10,56.75, , , ,
2017-09-11 16:40:14,74.39,54.07,56.73, , , ,
2017-09-11 16:50:14,74.31,54.10,56.68, , , ,
2017-09-11 17:00:14,74.31,54.07,56.66, , , ,
2017-09-11 17:10:14,74.31,54.07,56.66, , , ,
2017-09-11 17:20:14,74.23,54.07,56.59, , , ,
2017-09-11 17:30:14,74.08,54.07,56.45, , , ,
2017-09-11 17:40:14,74.16,54.07,56.52, , , ,
2017-09-11 17:50:14,74.00,54.04,56.36, , , ,
2017-09-11 18:00:14,73.93,54.04,56.29, , , ,
2017-09-11 18:10:14,73.77,54.01,56.13, , , ,
2017-09-11 18:20:14,73.77,54.01,56.13, , , ,
2017-09-11 18:30:14,73.77,54.01,56.13, , , ,
2017-09-11 18:40:14,73.69,54.01,56.06, , , ,
2017-09-11 18:50:14,73.62,54.04,56.00, , , ,
2017-09-11 19:00:14,73.54,54.04,55.93, , , ,
2017-09-11 19:10:14,73.39,53.98,55.76, , , ,
2017-09-11 19:20:14,73.31,53.98,55.68, , , ,
2017-09-11 19:30:14,73.31,53.98,55.68, , , ,
2017-09-11 19:40:14,73.23,53.98,55.61, , , ,
2017-09-11 19:50:14,73.23,54.01,55.63, , , ,
2017-09-11 20:00:14,73.08,53.98,55.47, , , ,
2017-09-11 20:10:14,73.00,53.94,55.38, , , ,
2017-09-11 20:20:14,73.00,53.94,55.38, , , ,
2017-09-11 20:30:14,72.84,53.94,55.24, , , ,
2017-09-11 20:40:14,72.84,53.94,55.24, , , ,
2017-09-11 20:50:14,72.69,54.20,55.22, , , ,
2017-09-11 21:00:14,72.61,54.16,55.14, , , ,
2017-09-11 21:10:14,72.54,54.20,55.08, , , ,
2017-09-11 21:20:14,72.46,54.16,54.99, , , ,
2017-09-11 21:30:14,72.46,54.20,55.01, , , ,
2017-09-11 21:40:14,72.30,54.16,54.85, , , ,
2017-09-11 21:50:14,72.30,54.20,54.86, , , ,
2017-09-11 22:00:14,72.15,54.16,54.71, , , ,
2017-09-11 22:10:14,72.23,54.13,54.76, , , ,
2017-09-11 22:20:14,72.07,54.16,54.63, , , ,
2017-09-11 22:30:14,72.07,54.38,54.74, , , ,
2017-09-11 22:40:14,72.00,54.42,54.69, , , ,
2017-09-11 22:50:14,71.92,54.38,54.60, , , ,
2017-09-11 23:00:14,71.84,54.38,54.53, , , ,
2017-09-11 23:10:14,71.84,54.35,54.51, , , ,
2017-09-11 23:20:14,71.76,54.38,54.46, , , ,
2017-09-11 23:30:14,71.76,54.35,54.44, , , ,
2017-09-11 23:40:14,71.61,54.35,54.30, , , ,
2017-09-11 23:50:14,71.61,54.38,54.31, , , ,
2017-09-12 00:00:14,71.61,54.60,54.43, , , ,
2017-09-12 00:10:14,71.38,54.60,54.21, , , ,
2017-09-12 00:20:14,71.45,54.57,54.27, , , ,
2017-09-12 00:30:14,71.45,54.57,54.27, , , ,
2017-09-12 00:40:14,71.38,54.60,54.21, , , ,
2017-09-12 00:50:14,71.30,54.60,54.14, , , ,
2017-09-12 01:00:14,71.22,54.57,54.05, , , ,
2017-09-12 01:10:14,71.22,54.60,54.07, , , ,
2017-09-12 01:20:14,71.15,54.57,53.98, , , ,
2017-09-12 01:30:14,71.07,54.54,53.89, , , ,
2017-09-12 01:40:14,71.07,54.57,53.91, , , ,
2017-09-12 01:50:14,71.07,54.79,54.02, , , ,
2017-09-12 02:00:14,70.91,54.79,53.87, , , ,
2017-09-12 02:10:14,70.91,54.82,53.89, , , ,
2017-09-12 02:20:14,70.91,54.82,53.89, , , ,
2017-09-12 02:30:14,70.91,54.79,53.87, , , ,
2017-09-12 02:40:14,70.84,54.82,53.82, , , ,
2017-09-12 02:50:14,70.76,54.79,53.73, , , ,
2017-09-12 03:00:14,70.68,54.76,53.64, , , ,
2017-09-12 03:10:14,70.76,54.79,53.73, , , ,
2017-09-12 03:20:14,70.68,54.79,53.66, , , ,
2017-09-12 03:30:14,70.61,54.76,53.57, , , ,
2017-09-12 03:40:14,70.61,54.79,53.59, , , ,
2017-09-12 03:50:14,70.53,54.79,53.51, , , ,
2017-09-12 04:00:14,70.53,55.01,53.62, , , ,
2017-09-12 04:10:14,70.53,55.01,53.62, , , ,
2017-09-12 04:20:14,70.45,55.04,53.57, , , ,
2017-09-12 04:30:14,70.45,55.04,53.57, , , ,
2017-09-12 04:40:14,70.37,54.98,53.46, , , ,
2017-09-12 04:50:14,70.37,55.01,53.48, , , ,
2017-09-12 05:00:14,70.30,54.98,53.39, , , ,
2017-09-12 05:10:14,70.30,54.98,53.39, , , ,
2017-09-12 05:20:14,70.30,55.01,53.41, , , ,
2017-09-12 05:30:14,70.14,54.98,53.25, , , ,
2017-09-12 05:40:14,70.14,55.01,53.27, , , ,
2017-09-12 05:50:14,70.14,55.23,53.37, , , ,
2017-09-12 06:00:14,70.14,55.23,53.37, , , ,
2017-09-12 06:10:14,70.14,55.26,53.39, , , ,
2017-09-12 06:20:14,69.99,55.23,53.23, , , ,
2017-09-12 06:30:14,69.99,55.23,53.23, , , ,
2017-09-12 06:40:14,69.91,55.20,53.14, , , ,
2017-09-12 06:50:14,69.91,55.23,53.16, , , ,
2017-09-12 07:00:14,69.91,55.20,53.14, , , ,
2017-09-12 07:10:14,69.83,55.20,53.07, , , ,
2017-09-12 07:20:14,69.83,55.23,53.09, , , ,
2017-09-12 07:30:14,69.76,55.23,53.01, , , ,
2017-09-12 07:40:14,69.83,55.45,53.19, , , ,
2017-09-12 07:50:14,69.68,55.42,53.04, , , ,
2017-09-12 08:00:14,69.68,55.45,53.05, , , ,
2017-09-12 08:10:14,69.76,55.45,53.12, , , ,
2017-09-12 08:20:14,69.68,55.42,53.04, , , ,
2017-09-12 08:30:14,69.68,55.42,53.04, , , ,
2017-09-12 08:40:14,70.22,58.47,55.01, , , ,
2017-09-12 08:50:14,67.67,65.88,55.89, , , ,
2017-09-12 09:00:14,70.68,61.43,56.81, , , ,
2017-09-12 09:10:14,70.53,61.65,56.76, , , ,
